"Symbol","Technical_Score","Current_Price","Price_Change","Price_Change_Pct","Data_Points","Analysis_Time","trend_score","momentum_score","volume_score","support_resistance_score","volatility_score"
"LT",84.5,"3673.8","7.5","0.2",35,"2025-08-12 14:10",90,85,90,45,100
"BPCL",79,"320.95","-0.15","-0.05",35,"2025-08-12 14:09",90,85,50,75,90
"NTPC",79,"336.5","-0.3","-0.09",35,"2025-08-12 14:10",90,85,50,75,90
"ONGC",78.5,"233.83","0.08","0.03",35,"2025-08-12 14:10",70,85,75,85,100
"SUNPHARMA",78,"1611.6","8.1","0.51",35,"2025-08-12 14:10",90,85,60,45,90
"GRASIM",76,"2758.9","5.1","0.19",35,"2025-08-12 14:09",90,85,40,65,90
"HCLTECH",73.8,"1488","0.3","0.02",35,"2025-08-12 14:09",90,72.5,50,55,100
"BAJAJ-AUTO",73,"8235","-39","-0.47",35,"2025-08-12 14:09",90,65,50,75,90
"BAJAJFINSV",73,"1925.6","3.5","0.18",35,"2025-08-12 14:09",90,85,35,45,90
"M&M",73,"3186.2","-0.3","-0.01",35,"2025-08-12 14:10",70,85,50,85,90
"RELIANCE",73,"1384.7","-1.5","-0.11",35,"2025-08-12 14:10",70,85,50,85,90
"POWERGRID",72.5,"285.4","0.45","0.16",35,"2025-08-12 14:10",70,85,50,75,100
"TATAMOTORS",72.2,"653.75","0.35","0.05",35,"2025-08-12 14:10",90,72.5,50,45,90
"APOLLOHOSP",72,"7248","-11.5","-0.16",35,"2025-08-12 14:09",90,65,50,65,90
"LTIM",72,"5053.5","-11","-0.22",35,"2025-08-12 14:10",90,65,50,65,90
"TATASTEEL",72,"158.52","0.03","0.02",35,"2025-08-12 14:10",70,85,50,75,90
"COALINDIA",71,"382.5","-0.05","-0.01",35,"2025-08-12 14:09",90,65,50,55,90
"ULTRACEMCO",69.5,"12395","-2","-0.02",35,"2025-08-12 14:10",90,65,40,55,100
"TITAN",67.5,"3467.9","-3.8","-0.11",35,"2025-08-12 14:10",80,65,35,85,90
"INFY",67,"1428.2","0.1","0.01",35,"2025-08-12 14:10",70,75,40,75,90
"ADANIENT",66.2,"2273","-13.5","-0.59",35,"2025-08-12 14:09",80,52.5,50,85,80
"ADANIPORTS",66,"1339.4","-1","-0.07",35,"2025-08-12 14:09",70,55,60,85,90
"SBILIFE",66,"1849.5","-1","-0.05",35,"2025-08-12 14:10",70,65,50,75,90
"HDFCLIFE",65.8,"765","0.7","0.09",35,"2025-08-12 14:10",75,65,50,55,90
"HINDUNILVR",65.5,"2510","-10.8","-0.43",35,"2025-08-12 14:10",60,65,65,75,90
"CIPLA",65.2,"1502.4","-1","-0.07",35,"2025-08-12 14:09",90,52.5,25,85,90
"ITC",65,"416.85","-0.1","-0.02",35,"2025-08-12 14:10",90,65,25,45,90
"WIPRO",63,"241.45","-0.17","-0.07",35,"2025-08-12 14:10",70,75,15,85,90
"MARUTI",62.5,"12597","13","0.1",35,"2025-08-12 14:10",70,65,35,65,100
"TECHM",60.2,"1481.1","1.9","0.13",35,"2025-08-12 14:10",65,40,60,90,90
"DRREDDY",57,"1219.5","-0.5","-0.04",35,"2025-08-12 14:09",80,40,25,75,90
"BRITANNIA",55.5,"5381.5","3.5","0.07",35,"2025-08-12 14:09",40,70,50,60,90
"TATACONSUM",55,"1055.8","-4.3","-0.41",35,"2025-08-12 14:10",80,30,25,85,90
"ASIANPAINT",54.5,"2489.1","-5.1","-0.2",35,"2025-08-12 14:09",50,65,15,100,90
"NESTLEIND",54.2,"1105","-0.4","-0.04",35,"2025-08-12 14:10",40,62.5,40,90,90
"DIVISLAB",53.5,"5992","0","0",35,"2025-08-12 14:09",40,70,25,90,90
"EICHERMOT",53.5,"5671.5","2","0.04",35,"2025-08-12 14:09",55,52.5,25,85,100
"TCS",50.8,"3040.8","0.7","0.02",35,"2025-08-12 14:10",60,42.5,25,75,90
"HINDALCO",38,"672","-1.35","-0.2",35,"2025-08-12 14:10",10,45,55,55,90
"JSWSTEEL",36.8,"1052.7","-1.1","-0.1",35,"2025-08-12 14:10",35,30,25,60,90
"HEROMOTOCO",34,"4565","3.9","0.09",35,"2025-08-12 14:10",10,75,0,35,90
"BHARTIARTL",30,"1852.3","-7","-0.38",35,"2025-08-12 14:09",10,45,25,35,90
"NIFTY50",0,"Index","N/A","N/A",35,"2025-08-12 14:09",NA,NA,NA,NA,NA
"BANKNIFTY",0,"Index","N/A","N/A",35,"2025-08-12 14:09",NA,NA,NA,NA,NA
"NIFTYIT",0,"Index","N/A","N/A",35,"2025-08-12 14:09",NA,NA,NA,NA,NA
"NIFTYPHARMA",0,"Index","N/A","N/A",35,"2025-08-12 14:09",NA,NA,NA,NA,NA
