SECURITY,NEW,PREVIOUS,NEW_STATUS
AAREY DRUGS & PHARM LTD       ,93.11,91.29,H
ALLIED BLEND N DISTILS L      ,654.55,640.00,H
AMBER ENTERPRISES (I) LTD     ,8626.00,8560.00,H
ANONDITA MEDICARE LIMITED     ,540.35,514.65,H
ARFIN INDIA LIMITED           ,55.00,54.50,H
ASL INDUSTRIES LIMITED        ,81.85,80.25,H
AXISAMC - AXISVALUE           ,31.09,30.88,H
BHAGYANAGAR INDIA LIMITED     ,148.95,136.19,H
BHARTI AIRTEL LIMITED         ,2110.40,2102.60,H
C P S SHAPERS LIMITED         ,1017.00,973.55,H
CAREER POINT EDUTECH LTD      ,338.75,338.00,H
CONNPLEX CINEMAS LIMITED      ,242.00,229.00,H
CUMMINS INDIA LTD             ,4366.20,4328.70,H
DSPAMC - NEXT30ADD            ,40.98,40.63,H
E FACTOR EXPERIENCES LTD      ,331.00,328.80,H
ECOLINE EXIM LIMITED          ,141.55,141.50,H
G M BREWERIES LTD             ,1295.00,1289.90,H
HBL ENGINEERING LTD           ,1018.80,1004.35,H
HDFCAMC HDFCPSUBK             ,83.00,81.97,H
ICICIPRAMC - METALIETF        ,10.90,10.70,H
ICICIPRAMC - VAL30IETF        ,14.40,14.27,H
IFB AGRO INDUSTRIES LTD       ,1373.15,1359.00,H
INDIAN BANK                   ,856.90,855.40,H
INDUS INFRA TRUST             ,121.90,121.39,H
INOX GREEN ENERGY SER LTD     ,271.85,270.00,H
IWARE SUPPLYCHAIN SER LTD     ,185.90,177.05,H
MAHAMAYA STEEL INDS LTD       ,610.50,596.00,H
MAXVOLT ENERGY INDUS L        ,334.00,320.15,H
MEGASOFT LTD                  ,204.43,194.70,H
MIRAEAMC - BANKPSU            ,81.65,81.51,H
MIRAEAMC - MAFANG             ,174.60,172.41,H
MIRAEAMC - MASPTOP50          ,70.59,69.55,H
NORBEN TEA &EXPORTS LTD       ,66.48,63.32,H
PRIVI SPECIALITY CHE LTD      ,2954.70,2949.00,H
PURPLE UNITED SALES LTD       ,587.95,561.20,H
RHETAN TMT LIMITED            ,23.15,23.00,H
RUBICON RESEARCH LIMITED      ,639.70,639.00,H
SAVY INFRA AND LOGI LTD       ,167.40,152.00,H
SBI LIFE INSURANCE CO LTD     ,1975.00,1945.60,H
SHRINGAR HOU OF MANGALS L     ,218.08,217.40,H
SJS ENTERPRISES LIMITED       ,1588.80,1577.50,H
SOMA TEXTILEI NDUSTRIES L     ,126.37,120.36,H
TANKUP ENGINEERS LIMITED      ,516.70,494.90,H
TATA MOTORS PASS VEH LTD      ,415.00,414.15,H
TECHERA ENGINEER (IND) L      ,325.70,310.20,H
VINTAGE COFFEE N BVRGS L      ,169.32,159.70,H
VST TILLERS TRACTORS LTD      ,6069.00,5965.00,H
3I INFOTECH LIMITED           ,18.38,18.96,L
ACCURACY SHIPPING LIMITED     ,6.16,6.35,L
AMANTA HEALTHCARE LIMITED     ,119.50,119.79,L
ASPIRE & INNOVATIVE ADV L     ,18.65,19.60,L
DIAMINES & CHEMICALS LTD      ,262.10,273.00,L
DIGIKORE STUDIOS LIMITED      ,77.80,78.10,L
ELPHI WORLD MONEY LTD         ,11.07,18.45,L
GLOBESECURE TECHNO LTD        ,6.30,6.50,L
GO FASHION INDIA LTD          ,646.10,650.00,L
JARO INS OF TEC MG N RE L     ,595.60,601.10,L
K2 INFRAGEN LIMITED           ,54.75,56.00,L
KAMDHENU VENTURES LIMITED     ,7.91,7.93,L
REMUS PHARMACEUTICALS L       ,630.00,636.10,L
TRUALT BIOENERGY LIMITED      ,439.25,441.10,L
VL E GOV AND IT SOL LTD       ,23.45,23.52,L
