"SYMBOL","TRADING_SIGNAL","TECHNICAL_SCORE","CONFIDENCE_SCORE","SIMULATED_RETURN","SIMULATED_WIN_RATE","RISK_ADJUSTED_RETURN","PERFORMANCE_CATEGORY"
"NAVA","STRONG_BUY",90,0.96,0.302553483983502,0.948853955324739,5.91548155687288,"Excellent"
"COMSYN","STRONG_BUY",95,0.98,0.279471792979166,0.947210859460756,5.29411523135908,"Excellent"
"HBLENGINE","STRONG_BUY",82,0.838,0.271038136212155,0.941366669069976,4.62259489462783,"Excellent"
"INDIASHLTR","STRONG_BUY",90,0.84,0.285633431561291,0.93514159116894,4.40395373104658,"Excellent"
"SILVER1","STRONG_BUY",80,0.8,0.245920439297333,0.938519772375003,3.9999923357041,"Excellent"
"WAAREEENER","STRONG_BUY",90,0.96,0.291493756650016,0.926603480800986,3.97149292406679,"Excellent"
"BALAJEE","STRONG_BUY",87,0.858,0.287665150081739,0.920093496143818,3.60002172788696,"Excellent"
"KALAMANDIR","STRONG_BUY",80,0.92,0.297850426984951,0.916313719609752,3.55913090647605,"Excellent"
"GOLDIETF","STRONG_BUY",80,0.92,0.277558434614912,0.920752674760297,3.5024328426905,"Excellent"
"UPL","STRONG_BUY",85,0.94,0.303512331983075,0.908868464222178,3.33048630633236,"Excellent"
"SARDAEN","STRONG_BUY",82,0.838,0.219717562990263,0.932637644605711,3.26172625206171,"Excellent"
"HLEGLAS","STRONG_BUY",80,0.86,0.250091667613015,0.923296662932262,3.2605056986263,"Excellent"
"DEEPINDS","STRONG_BUY",80,0.8,0.27663835384883,0.912786744255572,3.17197599708351,"Excellent"
"SILVRETF","STRONG_BUY",80,0.8,0.325659634638578,0.89059590077959,2.97666757424226,"Excellent"
"ESILVER","STRONG_BUY",85,0.82,0.290513740340248,0.901465831836685,2.948355334555,"Excellent"
"QGOLDHALF","STRONG_BUY",80,0.8,0.177772933896631,0.939279954042286,2.92774702477058,"Good"
"ASIANENE","STRONG_BUY",85,0.82,0.205583111941814,0.928866925090551,2.8901198521717,"Excellent"
"SHREDIGCEM","STRONG_BUY",80,0.92,0.342560040019453,0.875949084758759,2.76144709898574,"Excellent"
"MAHKTECH","STRONG_BUY",92,0.878,0.24564107991755,0.910851255850866,2.75540707008308,"Excellent"
"SILVER","STRONG_BUY",80,0.92,0.296405168296769,0.891807580692694,2.73961124258502,"Excellent"
