"SYMBOL","COMPANY_NAME","TRADING_SIGNAL","TECHNICAL_SCORE","CONFIDENCE_SCORE","SIMULATED_RETURN","SIMULATED_WIN_RATE","RISK_ADJUSTED_RETURN","PERFORMANCE_CATEGORY"
"COMSYN","COMMERCIAL SYN BAGS LTD","STRONG_BUY",80.7,0.8628,0.337010064627975,0.907661027088761,3.64970557937576,"Excellent"
"CREDITACC","CREDITACCESS GRAMEEN LTD","STRONG_BUY",81.3,0.9252,0.331474669510499,0.807515504024923,1.72208503251824,"Excellent"
"APOLLO","APOLLO MICRO SYSTEMS LTD","BUY",72.7,0.7408,0.188774460013956,0.783202958246693,0.870742785451667,"Good"
"PGHL","PROCTER & GAMBLE HEALTH L","BUY",65.3,0.8012,0.186511071231216,0.761920437868685,0.783398077355098,"Good"
"BLACKBUCK","ZINKA LOGISTICS SOL LTD","BUY",68.7,0.8748,0.151214928580448,0.7955705486238,0.739692483458149,"Good"
"LTF","L&T FINANCE LIMITED","BUY",66.7,0.8068,0.15776194287464,0.782525680307299,0.725427917639027,"Good"
"ASIANENE","ASIAN ENERGY SERVICES LTD","BUY",72.7,0.8908,0.181345050949603,0.738277618819848,0.692890879763078,"Good"
"DATAMATICS","DATAMATICS GLOBAL SER LTD","BUY",66.7,0.8668,0.192947388859466,0.714412166923285,0.675614877499475,"Good"
"AJAXENGG","AJAX ENGINEERING LIMITED","BUY",70,0.88,0.137165077123791,0.794989471836016,0.669063576159733,"Good"
"ASKAUTOLTD","ASK AUTOMOTIVE LIMITED","BUY",66.7,0.7468,0.15149380533956,0.77104592518881,0.661677698745878,"Good"
"CARTRADE","CARTRADE TECH LIMITED","BUY",70,0.88,0.190897984169424,0.666594221862033,0.572569513448648,"Good"
"BLUESTARCO","BLUE STAR LIMITED","BUY",67.3,0.8092,0.15680171190761,0.699963871575892,0.522609436174191,"Good"
"BAJAJCON","BAJAJ CONSUMER CARE LTD","BUY",69.3,0.8772,0.0999998763483018,0.798254971392453,0.495674550389197,"Moderate"
"DEEPINDS","DEEP INDUSTRIES LIMITED","BUY",70.7,0.8828,0.131852597249672,0.729379827994853,0.487223832106515,"Good"
"GODFRYPHLP","GODFREY PHILLIPS INDIA LT","BUY",68.7,0.8748,0.181946285087615,0.615315961744636,0.472975915280463,"Good"
"ARVINDFASN","ARVIND FASHIONS LIMITED","BUY",71.3,0.8252,0.139002154013142,0.701606535958126,0.465835116259905,"Good"
"COFFEEDAY","COFFEE DAY ENTERPRISE LTD","BUY",70.7,0.7928,0.182588648637757,0.603885187488049,0.460948802898523,"Good"
"ASHAPURMIN","ASHAPURA MINECHEM LTD","BUY",73.3,0.8932,0.104545247377828,0.765512944199145,0.445846560786775,"Good"
"ASTERDM","ASTER DM HEALTHCARE LTD.","BUY",66,0.744,0.0941089300997555,0.766096848342568,0.402341436756631,"Moderate"
"AVANTEL","AVANTEL LIMITED","BUY",65.3,0.7112,0.155570778883994,0.600013067340478,0.38893965322717,"Good"
