"symbol","current_price","momentum","rsi","rsi_status","pattern","relative_strength","technical_score","market_cap_category"
"AVL",517.1,12.56,64.8,"Normal","Bullish Flag",34.44,92,"LARGE_CAP"
"DIFFNKG",381.35,8.55,67.1,"Normal","Ascending Triangle",24.17,70.7,"SMALL_CAP"
"DOMS",2692.2,7.55,69.8,"Normal","Ascending Triangle",10.54,68.7,"LARGE_CAP"
"BECTORFOOD",1472,7.27,59.3,"Normal","Ascending Triangle",11.6,72.7,"SMALL_CAP"
"BATAINDIA",1245.5,7.15,65.9,"Normal","Ascending Triangle",6.44,68.7,"MID_CAP"
"SINCLAIR",106.35,6.97,63.3,"Normal","Ascending Triangle",24.67,72.7,"MICRO_CAP"
"M&M",3481.5,5.95,63.1,"Normal","Ascending Triangle",13.31,72.7,"LARGE_CAP"
"CAPITALSFB",296.95,4.86,51,"Normal","Bullish Pennant",4.65,66,"MICRO_CAP"
"METROBRAND",1226.7,4.77,64.6,"Normal","Bullish Pennant",10.29,66.7,"MICRO_CAP"
"CEIGALL",264.27,4.59,59.3,"Normal","Bullish Pennant",9.57,72.7,"MICRO_CAP"
"COLPAL",2464.6,3.47,66.8,"Normal","Bullish Pennant",4.44,70,"LARGE_CAP"
"KRSNAA",830.45,3.17,57.6,"Normal","Bullish Pennant",21.69,73.3,"MICRO_CAP"
"THYROCARE",1340.8,3.01,57.9,"Normal","Bullish Pennant",42.96,72.7,"MICRO_CAP"
"KEI",4125.8,2.6,68,"Normal","Bullish Pennant",10.25,71.3,"MID_CAP"
"APOLSINHOT",1425.3,2.58,55.8,"Normal","Bullish Pennant",16.02,87.3,"MICRO_CAP"
"ASTERDM",635.5,2.48,62.2,"Normal","Bullish Pennant",13.42,75.3,"SMALL_CAP"
"DEVYANI",179.3,2.33,65.8,"Normal","Bullish Pennant",8.89,65.3,"MID_CAP"
"STOVEKRAFT",680.5,2.3,62.5,"Normal","Bullish Pennant",24.11,76,"MICRO_CAP"
"DIVGIITTS",676.75,2.17,62.1,"Normal","Bullish Pennant",19.3,76,"MICRO_CAP"
"BIKAJI",801.35,2.1,61.8,"Normal","Bullish Pennant",15.51,87.3,"SMALL_CAP"
"RAMCOIND",314.4,2.08,67.9,"Normal","Bullish Pennant",26.74,76.7,"MICRO_CAP"
"BIL",861.75,2.08,53.7,"Normal","Bullish Pennant",29.31,65.3,"MICRO_CAP"
"INDOFARM",243.12,2.04,63.9,"Normal","Bullish Pennant",43.77,70,"SMALL_CAP"
"ARVINDFASN",540.45,1.89,61.4,"Normal","Bullish Pennant",17.16,72,"MICRO_CAP"
"SENCO",385.5,1.8,64,"Normal","Bullish Pennant",16.71,69.3,"MICRO_CAP"
"COMSYN",152.88,1.75,70.4,"Overbought","Bullish Pennant",17.72,76.7,"MICRO_CAP"
"DABUR",552.7,1.69,67.1,"Normal","Bullish Pennant",19.13,83.3,"LARGE_CAP"
"BLACKBUCK",598.65,1.58,57.9,"Normal","Bullish Pennant",39.29,69.3,"MICRO_CAP"
"BESTAGRO",405.75,1.39,52,"Normal","Bullish Pennant",28.57,66,"MICRO_CAP"
"AVTNPL",74.79,1.31,60.1,"Normal","Bullish Pennant",17.96,81.3,"MICRO_CAP"
"UNIECOM",151.74,1.31,69.9,"Normal","Bullish Pennant",24.1,66.7,"MICRO_CAP"
"CUMMINSIND",3935.6,1.3,67.7,"Normal","Bullish Pennant",21.63,76.7,"MID_CAP"
"METROPOLIS",2236.7,1.27,67.8,"Normal","Bullish Pennant",34.64,70,"MICRO_CAP"
"BHAGERIA",200.85,1.07,64.8,"Normal","Bullish Pennant",9.85,73.3,"MICRO_CAP"
"CENTURYPLY",788.2,1.06,69,"Normal","Bullish Pennant",10.35,75.3,"MICRO_CAP"
"ASKAUTOLTD",520,1.01,59.9,"Normal","Bullish Pennant",10.97,86,"MICRO_CAP"
"HDFCGROWTH",123.46,1.01,64.7,"Normal","Bullish Pennant",7.42,68,"MICRO_CAP"
"ANANDRATHI",2956.2,1,73.6,"Overbought","Bullish Pennant",44.81,72,"MICRO_CAP"
"AUTOBEES",267.49,0.91,72.6,"Overbought","Bullish Pennant",13.89,69.3,"MICRO_CAP"
"AUTOIETF",26.69,0.87,72.1,"Overbought","Bullish Pennant",13.54,69.3,"MICRO_CAP"
"CONSUMIETF",127.82,0.8,72.4,"Overbought","Bullish Pennant",9.86,65.3,"MICRO_CAP"
"ASHAPURMIN",551.35,0.76,60.8,"Normal","Bullish Pennant",33.14,70.7,"MICRO_CAP"
"LEMONTREE",170.95,0.73,65.4,"Normal","Bullish Pennant",27.64,70,"MID_CAP"
"CONTROLPR",783.45,0.73,55.1,"Normal","Bullish Pennant",3.41,67.3,"MICRO_CAP"
"DDEVPLSTIK",322.7,0.72,59.2,"Normal","Bullish Pennant",22.07,76.7,"MICRO_CAP"
"ASIANPAINT",2568.6,0.58,61.7,"Normal","Bullish Pennant",15.68,72,"MID_CAP"
"NESCO",1455.7,0.57,64.1,"Normal","Bullish Pennant",45.19,66.7,"MICRO_CAP"
"AXISCETF",127.14,0.54,69.2,"Normal","Bullish Pennant",9.61,67.3,"MICRO_CAP"
"SHOPERSTOP",542.3,0.51,56.6,"Normal","Bullish Pennant",12.93,68,"MICRO_CAP"
"CONSUMBEES",137.34,0.4,69.8,"Normal","Bullish Pennant",9.71,68.7,"MICRO_CAP"
"CENTUM",2817.3,0.38,65.9,"Normal","Bullish Pennant",24.54,78,"MICRO_CAP"
"DATAMATICS",1016.4,0.3,58.9,"Normal","Bullish Pennant",69.97,66.7,"MICRO_CAP"
"SUNDRMFAST",1016.7,0.24,56.7,"Normal","Bullish Pennant",7.8,66.7,"MICRO_CAP"
"BSHSL",141.68,0.19,58.1,"Normal","Bullish Pennant",6.29,70,"MICRO_CAP"
"HINDUNILVR",2666.6,0.07,63.4,"Normal","Bullish Pennant",20.62,67.3,"LARGE_CAP"
"BBTCL",202.1,0.04,56.6,"Normal","Bullish Pennant",28.75,68.7,"MICRO_CAP"
