"SYMBOL","MARKET_CAP_CATEGORY","CURRENT_PRICE","CHANGE_1D","CHANGE_1W","CHANGE_1M","TECHNICAL_SCORE","RELATIVE_STRENGTH","TRADING_SIGNAL","TREND_SIGNAL","SECTOR"
"BEML","MID_CAP",4435.7,2.86,0.88,6.27,65.3,3.75,"BUY","BULLISH","DEFENCE"
"ASTRAL","SMALL_CAP",1464.9,0.01,0.63,7.21,58.7,8.34,"HOLD","BULLISH","DEFENCE"
"BELRISE","MICRO_CAP",150.85,0.33,-2.22,-4.2,56,6.65,"HOLD","BULLISH","DEFENCE"
"BHARATFORG","SMALL_CAP",1317.2,-0.38,1.32,8.64,52.7,6.45,"HOLD","BULLISH","DEFENCE"
"BEL","LARGE_CAP",409.9,0.66,-2.09,1.47,44.7,0.38,"WEAK_HOLD","BULLISH","DEFENCE"
"COCHINSHIP","SMALL_CAP",1782.5,-1.22,-0.55,-0.4,44.7,0.87,"WEAK_HOLD","BEARISH","DEFENCE"
"ASTRAMICRO","MICRO_CAP",1056,1.48,-2.22,7.33,43.3,-1.86,"WEAK_HOLD","BULLISH","DEFENCE"
"RRKABEL","MICRO_CAP",1409.5,-1.12,12.39,11.74,42.7,10.25,"WEAK_HOLD","BULLISH","DEFENCE"
"MBEL","MICRO_CAP",464.95,0.68,1.56,21.32,34.7,1.71,"SELL","NEUTRAL","DEFENCE"
"WEBELSOLAR","MICRO_CAP",1234.7,3.46,3.86,-0.04,24,-17.16,"SELL","BEARISH","DEFENCE"
"HAL","LARGE_CAP",4650.2,-0.96,-3.33,-2.03,22.7,-2.26,"SELL","BEARISH","DEFENCE"
"MIDHANI","MICRO_CAP",384.15,-0.45,1.11,1.84,20.7,-9.11,"SELL","STRONG_BEARISH","DEFENCE"
"AEROFLEX","MICRO_CAP",179.33,-3.2,4,2.92,16,-8.62,"SELL","BEARISH","DEFENCE"
"OBEROIRLTY","MID_CAP",1750.3,2.15,4.56,10.63,53.3,2.56,"HOLD","BULLISH","REALTY"
"BRIGADE","MICRO_CAP",1038.9,0.43,4.12,15.94,53.3,2.49,"HOLD","BULLISH","REALTY"
"SUNTECK","MICRO_CAP",454.4,2.19,5,9.45,52,14.84,"HOLD","BULLISH","REALTY"
"GODREJPROP","SMALL_CAP",2298.9,-0.54,0.88,16.77,48.7,12.25,"WEAK_HOLD","BULLISH","REALTY"
"PRESTIGE","SMALL_CAP",1755.3,0.13,1.05,16.24,40,2.72,"WEAK_HOLD","BULLISH","REALTY"
"DLF","SMALL_CAP",776.55,-0.28,0.29,8.91,30.7,-2.54,"SELL","BEARISH","REALTY"
"SOBHA","MICRO_CAP",1576.8,1.12,2.78,2.29,28,-1.35,"SELL","BEARISH","REALTY"
"LODHA","SMALL_CAP",1171.4,-0.66,-0.33,3.13,22,-9.47,"SELL","BEARISH","REALTY"
"BHEL","LARGE_CAP",261.29,6.48,11.52,9.58,69.3,11.62,"BUY","BEARISH","INFRASTRUCTURE"
"ADANIGREEN","LARGE_CAP",1140.1,2.47,9.13,11.03,60,18.33,"HOLD","BULLISH","INFRASTRUCTURE"
"LT","LARGE_CAP",3987.5,0.74,1.76,8.98,54,2.92,"HOLD","STRONG_BULLISH","INFRASTRUCTURE"
"ADANIPORTS","MID_CAP",1457.9,0.21,0.33,3.88,41.3,5.44,"WEAK_HOLD","BULLISH","INFRASTRUCTURE"
"NTPCGREEN","MID_CAP",104.6,-0.42,3.79,7.6,40,-1.1,"WEAK_HOLD","BEARISH","INFRASTRUCTURE"
"ABB","SMALL_CAP",5279,-0.19,1.88,1.85,40,-1.26,"WEAK_HOLD","BULLISH","INFRASTRUCTURE"
"CONCOR","SMALL_CAP",549.6,-0.77,2.78,4.53,39.3,-3.55,"WEAK_HOLD","BEARISH","INFRASTRUCTURE"
"NTPC","MID_CAP",345.15,-0.68,0.73,1.38,33.3,-3.51,"SELL","STRONG_BULLISH","INFRASTRUCTURE"
"POWERGRID","MID_CAP",291.5,-1.3,0.64,4.01,30.7,-3.89,"SELL","BULLISH","INFRASTRUCTURE"
"ADANIPOWER","LARGE_CAP",162.57,0.29,-1.63,12.39,16,-77.28,"SELL","BEARISH","INFRASTRUCTURE"
"SIEMENS","MICRO_CAP",3126.8,-0.7,-0.73,-0.08,16,-5.8,"SELL","STRONG_BEARISH","INFRASTRUCTURE"
